"Disease_Code","Disease_Name","Name","Source","P_value","FDR_Bonferroni","FDR_BH","FDR_BY","Query_Hits","Genome_Hits","Hits"
"EFO_0010747, EFO_0010748, EFO_0010749","EFO_0010747, EFO_0010748, EFO_0010749","motor function measurement, response to zonisamide, response to levodopa","GWAS",0.0265,1,0.0474,0.392,1,8,"CD69"
"C1328252","C1328252","Mucocutaneous leishmaniasis","DisGeNET Curated",0.00336,1,0.0113,0.0932,1,1,"IFNG"
"DOID:4531","DOID:4531 (is_marker_for)","mucoepidermoid carcinoma (is_marker_for)","AllianceGenome",0.0067,1,0.0185,0.153,1,2,"CXCR4"
"DOID:12800","DOID:12800 (biomarker_via_orthology)","mucopolysaccharidosis VI (biomarker_via_orthology)","AllianceGenome",0.01,1,0.0246,0.203,1,3,"TNF"
"DOID:9538","DOID:9538 (is_implicated_in)","multiple myeloma (is_implicated_in)","AllianceGenome",4.71e-05,0.104,0.000628,0.00519,4,59,"IRF8,IRF4,TNF,CTLA4"
"C0026766","C0026766","Multiple Organ Failure","DisGeNET Curated",0.0265,1,0.0474,0.392,1,8,"TNF"
"DOID:2377","DOID:2377 (is_implicated_in)","multiple sclerosis (is_implicated_in)","AllianceGenome",3.02e-12,6.64e-09,6.04e-10,4.99e-09,9,73,"PSMB9,FASLG,IFNG,PTPRC,CD86,PRF1,CCR5,TNF,CTLA4"
"C0751324","C0751324","Multiple Sclerosis, Acute Fulminating","DisGeNET Curated",8.96e-09,1.97e-05,5.05e-07,4.18e-06,6,45,"IRF8,CASP1,STAT4,IFNG,CD6,IL7R"
"DOID:9884","DOID:9884 (is_marker_for)","muscular dystrophy (is_marker_for)","AllianceGenome",0.01,1,0.0246,0.203,1,3,"TNF"
"DOID:437","DOID:437 (is_marker_for)","myasthenia gravis (is_marker_for)","AllianceGenome",0.0167,1,0.0345,0.286,1,5,"CXCL10"
"DOID:2755","DOID:2755 (is_marker_for)","Mycobacterium avium complex disease (is_marker_for)","AllianceGenome",0.0134,1,0.0297,0.245,1,4,"TNF"
"C0026918","C0026918","Mycobacterium Infections","DisGeNET Curated",0.0067,1,0.0185,0.153,1,2,"STAT1"
"DOID:13276","DOID:13276 (is_marker_for)","Mycoplasma pneumoniae pneumonia (is_marker_for)","AllianceGenome",0.0167,1,0.0345,0.286,1,5,"TNF"
"C0026948","C0026948","Mycosis Fungoides","DisGeNET Curated",0.01,1,0.0246,0.203,1,3,"CTLA4"
"DOID:0050908","DOID:0050908 (is_marker_for)","myelodysplastic syndrome (is_marker_for)","AllianceGenome",0.00204,1,0.0113,0.0932,2,20,"FASLG,TNF"
"DOID:8683","DOID:8683 (is_marker_for)","myeloid sarcoma (is_marker_for)","AllianceGenome",0.00336,1,0.0113,0.0932,1,1,"CCR2"
"EFO_0007988","EFO_0007988","myeloid white cell count","GWAS",0.00121,1,0.00831,0.0687,10,937,"TAGAP,IRF4,IKZF1,ITGAL,FASLG,PTPRC,TNFSF13B,CD69,PLEK,IL7R"
"C1834176","C1834176","MYELOKATHEXIS, ISOLATED","DisGeNET Curated",0.00336,1,0.0113,0.0932,1,1,"CXCR4"
"C0036529","C0036529","Myocardial Diseases, Secondary","DisGeNET Curated",0.0226,1,0.0436,0.361,2,69,"FASLG,TNF"
"DOID:5844","DOID:5844 (biomarker_via_orthology)","myocardial infarction (biomarker_via_orthology)","AllianceGenome",0.0168,1,0.0347,0.287,3,160,"CASP1,CCL5,TNF"
"C0151744","C0151744","Myocardial Ischemia","DisGeNET Curated",0.00296,1,0.0113,0.0932,4,176,"CXCL10,IRF1,CCL4,TNF"
"C0206146","C0206146","Myocardial Stunning","DisGeNET Curated",0.0134,1,0.0297,0.245,1,4,"TNF"
"DOID:820","DOID:820 (implicated_via_orthology)","myocarditis (implicated_via_orthology)","AllianceGenome",1.3e-05,0.0286,0.000236,0.00195,3,14,"CXCL10,ICOS,CTLA4"
"DOID:633","DOID:633 (is_implicated_in)","myositis (is_implicated_in)","AllianceGenome",0.0134,1,0.0297,0.245,1,4,"FCGR3A"
"C1850568","C1850568","Nakajo syndrome","DisGeNET Curated",0.0067,1,0.0185,0.153,1,2,"PSMB9"
"EFO_1000391","EFO_1000391","Nasal Cavity Polyp","GWAS",0.000847,1,0.00614,0.0508,3,55,"IRF1,IRF4,IL7R"
"C0027497","C0027497","Nausea","DisGeNET Curated",0.000232,0.509,0.0021,0.0174,2,7,"IFNG,TNF"
"C0027540","C0027540","Necrosis","DisGeNET Curated",0.0147,1,0.0325,0.269,2,55,"IFNG,TNF"
"C0027626","C0027626","Neoplasm Invasiveness","DisGeNET Curated",0.0242,1,0.0453,0.374,3,184,"CXCR4,CCL5,TNF"
"CV:C0024121","cv:C0024121","Neoplasm of lung","Clinical Variations",0.000988,1,0.0069,0.0571,2,14,"IRF1,FASLG"
"C0027643","C0027643","Neoplasm Recurrence, Local","DisGeNET Curated",0.00762,1,0.0208,0.172,2,39,"IDO1,CXCL9"
"C0027659","C0027659","Neoplasms, Experimental","DisGeNET Curated",0.0208,1,0.0405,0.335,2,66,"IFNG,TNF"
"C0007621","C0007621","Neoplastic Cell Transformation","DisGeNET Curated",0.0116,1,0.028,0.232,3,139,"NCF1,CXCR4,IL7R"
"DOID:10952","DOID:10952 (is_marker_for)","nephritis (is_marker_for)","AllianceGenome",0.0067,1,0.0185,0.153,1,2,"IFNG"
"C0751372","C0751372","Nerve Pain","DisGeNET Curated",0.0013,1,0.00856,0.0709,2,16,"CXCR4,TNF"
"C0274862","C0274862","Nervous System, Organic Arsenic Poisoning","DisGeNET Curated",0.0185,1,0.0378,0.313,2,62,"CCL4,TNF"
"C0027796","C0027796","Neuralgia","DisGeNET Curated",0.0013,1,0.00856,0.0709,2,16,"CXCR4,TNF"
"C0234247","C0234247","Neuralgia, Atypical","DisGeNET Curated",0.0013,1,0.00856,0.0709,2,16,"CXCR4,TNF"
"C0423712","C0423712","Neuralgia, Iliohypogastric Nerve","DisGeNET Curated",0.0013,1,0.00856,0.0709,2,16,"CXCR4,TNF"
"C0751371","C0751371","Neuralgia, Ilioinguinal","DisGeNET Curated",0.0013,1,0.00856,0.0709,2,16,"CXCR4,TNF"
"C0423711","C0423711","Neuralgia, Perineal","DisGeNET Curated",0.0013,1,0.00856,0.0709,2,16,"CXCR4,TNF"
"C0234249","C0234249","Neuralgia, Stump","DisGeNET Curated",0.0013,1,0.00856,0.0709,2,16,"CXCR4,TNF"
"C0038870","C0038870","Neuralgia, Supraorbital","DisGeNET Curated",0.0013,1,0.00856,0.0709,2,16,"CXCR4,TNF"
"C0042656","C0042656","Neuralgia, Vidian","DisGeNET Curated",0.0013,1,0.00856,0.0709,2,16,"CXCR4,TNF"
"C0752335","C0752335","Neuropsychiatric Systemic Lupus Erythematosus","DisGeNET Curated",0.01,1,0.0246,0.203,1,3,"FCGR3A"
"DOID:1227","DOID:1227 (is_implicated_in)","neutropenia (is_implicated_in)","AllianceGenome",0.0265,1,0.0474,0.392,1,8,"TNF"
"EFO_0004833","EFO_0004833","neutrophil count","GWAS",0.00021,0.461,0.00199,0.0164,14,1382,"TAGAP,IRF8,IRF1,IKZF1,ITGAL,FASLG,SLAMF1,CD1D,CD247,PTPRC,CXCR4,TNFSF13B,NKG7,TRAF3IP3"
"C1842398","C1842398","Neutrophil Immunodeficiency Syndrome","DisGeNET Curated",0.00336,1,0.0113,0.0932,1,1,"RAC2"
"EFO_0007994","EFO_0007994","neutrophil percentage of granulocytes","GWAS",0.000123,0.27,0.00126,0.0104,6,228,"IRF1,IRF4,IKZF1,STAT1,PTPRC,IL7R"
"EFO_0007990","EFO_0007990","neutrophil percentage of leukocytes","GWAS",0.000216,0.475,0.00204,0.0169,9,610,"CD244,IRF8,IRF4,IKZF1,CD69,NKG7,CCR7,PLEK,IL7R"
"EFO_0008447","EFO_0008447","neutrophil-to-lymphocyte ratio","GWAS",0.0245,1,0.0459,0.379,3,185,"PRF1,CD69,IL7R"
"DOID:0080208","DOID:0080208 (biomarker_via_orthology)","non-alcoholic fatty liver disease (biomarker_via_orthology)","AllianceGenome",0.0202,1,0.0394,0.326,2,65,"CCL5,TNF"
"DOID:0080547","DOID:0080547 (is_marker_for)","non-alcoholic steatohepatitis (is_marker_for)","AllianceGenome",2.88e-05,0.0634,0.000456,0.00377,3,18,"CXCL10,BIRC3,CCL5"
"C0751523","C0751523","Non-Convulsive Status Epilepticus","DisGeNET Curated",7.77e-05,0.171,0.000919,0.0076,4,67,"CASP1,CCR2,TNF,CCR7"
"DOID:0060060","DOID:0060060 (is_implicated_in)","non-Hodgkin lymphoma (is_implicated_in)","AllianceGenome",0.00147,1,0.00929,0.0769,2,17,"PRF1,CTLA4"
"EFO_0005952","EFO_0005952","non-Hodgkins lymphoma","GWAS",0.00318,1,0.0113,0.0932,2,25,"IRF4,CD69"
"DOID:9970","DOID:9970 (biomarker_via_orthology)","obesity (biomarker_via_orthology)","AllianceGenome",0.0134,1,0.0298,0.246,3,147,"IFNG,CCL4,CCL5"
"EFO_0004242, MONDO_0004985","EFO_0004242, MONDO_0004985","obsessive-compulsive disorder, bipolar disorder","GWAS",0.0067,1,0.0185,0.153,1,2,"PTPRC"
"DOID:0050848","DOID:0050848 (is_marker_for)","obstructive sleep apnea (is_marker_for)","AllianceGenome",0.00427,1,0.014,0.116,2,29,"CCL5,TNF"
"C2700553","C2700553","Omenn Syndrome","DisGeNET Curated",1.88e-13,4.13e-10,8.27e-11,6.84e-10,7,19,"ZAP70,CORO1A,CD3D,CD3E,PTPRC,IL2RG,IL7R"
"EFO_0020618","EFO_0020618","opioid-binding protein/cell adhesion molecule measurement","GWAS",0.0265,1,0.0474,0.392,1,8,"CXCL10"
"DOID:1210","DOID:1210 (is_marker_for)","optic neuritis (is_marker_for)","AllianceGenome",0.0067,1,0.0185,0.153,1,2,"CCR5"
"DOID:0050866","DOID:0050866 (biomarker_via_orthology)","oral squamous cell carcinoma (biomarker_via_orthology)","AllianceGenome",0.0134,1,0.0297,0.245,1,4,"TNF"
"C0029172","C0029172","Oral Submucous Fibrosis","DisGeNET Curated",2.88e-05,0.0634,0.000456,0.00377,3,18,"IFNG,TNF,CTLA4"
"HP_0000155","HP_0000155","Oral ulcer","GWAS",1.68e-06,0.0037,5.14e-05,0.000426,6,107,"IRF8,PSMB9,IKZF1,STAT4,NOD2,IL7R"
"DOID:2518","DOID:2518 (biomarker_via_orthology)","orchitis (biomarker_via_orthology)","AllianceGenome",0.000111,0.243,0.00116,0.00959,2,5,"CD86,CCR5"
"C4721411","C4721411","Osteolysis","DisGeNET Curated",0.0233,1,0.0436,0.361,1,7,"TNF"
"C0029458","C0029458","Osteoporosis, Postmenopausal","DisGeNET Curated",0.02,1,0.039,0.322,1,6,"TNF"
"C1298681","C1298681","Oxalosis","DisGeNET Curated",0.0167,1,0.0345,0.286,1,5,"CCL5"
"C1720830","C1720830","Painful Bladder Syndrome","DisGeNET Curated",3.34e-05,0.0734,0.000473,0.00392,2,3,"CXCL10,CXCL9"
"DOID:4989","DOID:4989 (biomarker_via_orthology)","pancreatitis (biomarker_via_orthology)","AllianceGenome",0.000307,0.674,0.00267,0.0221,3,39,"SELL,NOD2,CCL5"
"CV:C4225173","cv:C4225173","Pancytopenia due to IKZF1 mutations","Clinical Variations",0.00336,1,0.0113,0.0932,1,1,"IKZF1"
"DOID:12030","DOID:12030 (biomarker_via_orthology)","panuveitis (biomarker_via_orthology)","AllianceGenome",0.00336,1,0.0113,0.0932,1,1,"IFNG"
"DOID:12662","DOID:12662 (is_implicated_in)","paracoccidioidomycosis (is_implicated_in)","AllianceGenome",0.0067,1,0.0185,0.153,1,2,"TNF"
"C0751373","C0751373","Paroxysmal Nerve Pain","DisGeNET Curated",0.0013,1,0.00856,0.0709,2,16,"CXCR4,TNF"
"DOID:0060284","DOID:0060284 (is_marker_for)","paroxysmal nocturnal hemoglobinuria (is_marker_for)","AllianceGenome",0.00336,1,0.0113,0.0932,1,1,"CXCR4"
"DOID:13976","DOID:13976 (biomarker_via_orthology)","peptic esophagitis (biomarker_via_orthology)","AllianceGenome",0.00072,1,0.00542,0.0448,2,12,"PSMB9,CCL5"
"DOID:4617","DOID:4617 (is_marker_for)","periapical granuloma (is_marker_for)","AllianceGenome",0.01,1,0.0246,0.203,1,3,"CCR2"
"DOID:823","DOID:823 (biomarker_via_orthology)","periapical periodontitis (biomarker_via_orthology)","AllianceGenome",0.0167,1,0.0345,0.286,1,5,"CCR2"
"DOID:8677","DOID:8677 (is_marker_for)","perinatal necrotizing enterocolitis (is_marker_for)","AllianceGenome",0.0233,1,0.0436,0.361,1,7,"TNF"
"DOID:0050749","DOID:0050749 (is_implicated_in)","peripheral T-cell lymphoma (is_implicated_in)","AllianceGenome",0.00336,1,0.0113,0.0932,1,1,"IRF4"
"DOID:341","DOID:341 (implicated_via_orthology)","peripheral vascular disease (implicated_via_orthology)","AllianceGenome",0.00336,1,0.0113,0.0932,1,1,"SELL"
"DOID:8283","DOID:8283 (is_marker_for)","peritonitis (is_marker_for)","AllianceGenome",0.0067,1,0.0185,0.153,1,2,"TNF"
"DOID:13088","DOID:13088 (implicated_via_orthology)","periventricular leukomalacia (implicated_via_orthology)","AllianceGenome",0.00336,1,0.0113,0.0932,1,1,"TNF"
"C0270823","C0270823","Petit mal status","DisGeNET Curated",7.77e-05,0.171,0.000919,0.0076,4,67,"CASP1,CCR2,TNF,CCR7"
"EFO_0020637","EFO_0020637","phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform measurement","GWAS",0.02,1,0.039,0.322,1,6,"CXCL10"
"EFO_0801881","EFO_0801881","phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha measurement","GWAS",0.0233,1,0.0436,0.361,1,7,"CXCL10"
"C0032045","C0032045","Placenta Disorders","DisGeNET Curated",0.0134,1,0.0297,0.245,1,4,"TNF"
"DOID:3482","DOID:3482 (implicated_via_orthology)","plague (implicated_via_orthology)","AllianceGenome",0.00336,1,0.0113,0.0932,1,1,"CCR5"
"DOID:14067","DOID:14067 (is_marker_for)","Plasmodium falciparum malaria (is_marker_for)","AllianceGenome",0.000111,0.243,0.00116,0.00959,2,5,"CCL4,TNF"
"EFO_0007984","EFO_0007984","platelet component distribution width","GWAS",0.0137,1,0.0303,0.251,7,755,"PSMB9,IKZF1,PTPRC,TNFSF13B,PLEK,VAV1,RAC2"
"EFO_0008446","EFO_0008446","platelet-to-lymphocyte ratio","GWAS",0.00143,1,0.00928,0.0768,6,363,"PSMB9,ITGAL,PTPRC,CD69,CCR7,IL7R"
"C0032227","C0032227","Pleural effusion disorder","DisGeNET Curated",0.00336,1,0.0113,0.0932,1,1,"TNF"
"DOID:106","DOID:106 (is_implicated_in)","pleural tuberculosis (is_implicated_in)","AllianceGenome",0.0134,1,0.0297,0.245,1,4,"CCR2"
"C0032231","C0032231","Pleurisy","DisGeNET Curated",0.02,1,0.039,0.322,1,6,"TNF"
"C0032285","C0032285","Pneumonia","DisGeNET Curated",6.01e-10,1.32e-06,4.72e-08,3.9e-07,7,54,"CASP1,IFNG,CCR2,CXCL9,CCL4,TNF,IL2RB"
"C3714636","C3714636","Pneumonitis","DisGeNET Curated",6.01e-10,1.32e-06,4.72e-08,3.9e-07,7,54,"CASP1,IFNG,CCR2,CXCL9,CCL4,TNF,IL2RB"
"C0162323","C0162323","Polyarthritis","DisGeNET Curated",0.0167,1,0.0345,0.286,1,5,"CD69"
"DOID:0080745","DOID:0080745 (is_marker_for)","polymyositis (is_marker_for)","AllianceGenome",0.000601,1,0.0046,0.0381,2,11,"IFNG,CCR2"
"C0263984","C0263984","Polymyositis Ossificans","DisGeNET Curated",0.0167,1,0.0345,0.286,1,5,"TNF"
"C0554591","C0554591","Polymyositis, Idiopathic","DisGeNET Curated",0.0167,1,0.0345,0.286,1,5,"TNF"
"DOID:1389","DOID:1389 (is_implicated_in)","polyneuropathy (is_implicated_in)","AllianceGenome",0.0134,1,0.0297,0.245,1,4,"FCGR3A"
"C0343528","C0343528","Pontiac Fever","DisGeNET Curated",0.0067,1,0.0185,0.153,1,2,"IFNG"
"DOID:12574","DOID:12574 (is_implicated_in)","posterior uveitis (is_implicated_in)","AllianceGenome",3.34e-05,0.0734,0.000473,0.00392,2,3,"CCR2,CCR5"
"DOID:10591","DOID:10591 (biomarker_via_orthology)","pre-eclampsia (biomarker_via_orthology)","AllianceGenome",0.00147,1,0.00929,0.0769,2,17,"CCL5,TNF"
"C1961102","C1961102","Precursor Cell Lymphoblastic Leukemia Lymphoma","DisGeNET Curated",0.00115,1,0.00789,0.0653,3,61,"IKZF1,HCK,IL7R"
"C1961099","C1961099","Precursor T-Cell Lymphoblastic Leukemia-Lymphoma","DisGeNET Curated",0.00076,1,0.0057,0.0472,3,53,"STAT1,PTPRC,IL7R"
"DOID:11716","DOID:11716 (is_implicated_in)","prediabetes syndrome (is_implicated_in)","AllianceGenome",0.0167,1,0.0345,0.286,1,5,"CCR2"
"C0032963","C0032963","Pregnancy Complications, Cardiovascular","DisGeNET Curated",0.0134,1,0.0297,0.245,1,4,"TNF"
"DOID:12236","DOID:12236 (is_marker_for)","primary biliary cholangitis (is_marker_for)","AllianceGenome",7.99e-05,0.176,0.000939,0.00777,3,25,"IFNG,CCL5,TNF"
"C0008312","C0008312","Primary biliary cirrhosis","DisGeNET Curated",2.17e-10,4.78e-07,2.28e-08,1.88e-07,7,47,"CXCL10,POU2AF1,STAT4,CD3D,CXCL9,CCL5,IL7R"
"DOID:612","DOID:612 (is_implicated_in)","primary immunodeficiency disease (is_implicated_in)","AllianceGenome",1.29e-12,2.84e-09,3.16e-10,2.61e-09,8,42,"TNFRSF9,TBX21,LCP2,TLR8,PTPRC,SASH3,CTLA4,IL7R"
"C1449646","C1449646","Primary Peritonitis","DisGeNET Curated",0.01,1,0.0246,0.203,1,3,"IFNG"
"DOID:0060643","DOID:0060643 (is_marker_for)","primary sclerosing cholangitis (is_marker_for)","AllianceGenome",0.0265,1,0.0474,0.392,1,8,"TNF"
"C4747850","C4747850","PROTEASOME-ASSOCIATED AUTOINFLAMMATORY SYNDROME 3","DisGeNET Curated",0.00336,1,0.0113,0.0932,1,1,"PSMB9"
"EFO_0801976","EFO_0801976","protocadherin beta-4 measurement","GWAS",0.02,1,0.039,0.322,1,6,"CXCL10"
"DOID:8893","DOID:8893 (is_implicated_in)","psoriasis (is_implicated_in)","AllianceGenome",5.12e-06,0.0113,0.000131,0.00108,4,34,"PSMB9,STAT4,TNF,CTLA4"
"DOID:9008","DOID:9008 (is_implicated_in)","psoriatic arthritis (is_implicated_in)","AllianceGenome",5.93e-06,0.013,0.000147,0.00121,3,11,"STAT4,CCR2,TNF"
"DOID:11396","DOID:11396 (is_marker_for)","pulmonary edema (is_marker_for)","AllianceGenome",0.0067,1,0.0185,0.153,1,2,"TNF"
"DOID:9675","DOID:9675 (is_marker_for)","pulmonary emphysema (is_marker_for)","AllianceGenome",1.3e-05,0.0286,0.000236,0.00195,3,14,"CXCL10,CXCL9,CCR5"
"C0034069","C0034069","Pulmonary Fibrosis","DisGeNET Curated",0.000196,0.431,0.00187,0.0154,4,85,"CCR2,CCL4,CCL5,TNF"
"DOID:6432","DOID:6432 (is_marker_for)","pulmonary hypertension (is_marker_for)","AllianceGenome",0.00132,1,0.00864,0.0715,3,64,"CD86,CCL5,TNF"
"DOID:13406","DOID:13406 (is_marker_for)","pulmonary sarcoidosis (is_marker_for)","AllianceGenome",7.2e-08,0.000158,3.24e-06,2.68e-05,5,32,"CXCL10,CXCL9,CCL5,CCR5,CCR7"
"DOID:2957","DOID:2957 (is_marker_for)","pulmonary tuberculosis (is_marker_for)","AllianceGenome",1.33e-07,0.000293,5.53e-06,4.57e-05,5,36,"IDO1,CXCL10,CD86,CCL5,CCR5"
"DOID:11121","DOID:11121 (biomarker_via_orthology)","pulpitis (biomarker_via_orthology)","AllianceGenome",0.01,1,0.0246,0.203,1,3,"IFNG"
"DOID:4398","DOID:4398 (is_implicated_in)","pustulosis of palm and sole (is_implicated_in)","AllianceGenome",0.0067,1,0.0185,0.153,1,2,"TNF"
"C0030246","C0030246","Pustulosis of Palms and Soles","DisGeNET Curated",0.0158,1,0.0345,0.286,2,57,"TAGAP,TNF"
"C0034189","C0034189","Pyemia","DisGeNET Curated",0.00293,1,0.0113,0.0932,2,24,"IFNG,TNF"
"DOID:4306","DOID:4306 (biomarker_via_orthology)","radiculopathy (biomarker_via_orthology)","AllianceGenome",0.0067,1,0.0185,0.153,1,2,"TNF"
"EFO_0020703","EFO_0020703","receptor-type tyrosine-protein kinase flt3 measurement","GWAS",0.02,1,0.039,0.322,1,6,"CXCL10"
"DOID:1993","DOID:1993 (is_marker_for)","rectum cancer (is_marker_for)","AllianceGenome",0.01,1,0.0246,0.203,1,3,"CXCR4"
"C1846546","C1846546","Recurrent sinopulmonary infections","DisGeNET Curated",0.0067,1,0.0185,0.153,1,2,"IKZF1"
"C0002893","C0002893","Refractory anemias","DisGeNET Curated",0.0067,1,0.0185,0.153,1,2,"TNF"
"C0678202","C0678202","Regional enteritis","DisGeNET Curated",1.46e-05,0.0321,0.000255,0.00211,4,44,"TAGAP,NOD2,IFNG,TNF"
"EFO_0801997","EFO_0801997","regulator of G-protein signaling 8 measurement","GWAS",0.0233,1,0.0436,0.361,1,7,"CXCL10"
"DOID:4450","DOID:4450 (is_implicated_in)","renal cell carcinoma (is_implicated_in)","AllianceGenome",0.00164,1,0.0103,0.0851,3,69,"PSMB9,TNF,CTLA4"
"C0035235","C0035235","Respiratory Syncytial Virus Infections","DisGeNET Curated",0.0167,1,0.0345,0.286,1,5,"IFNG"
"DOID:1273","DOID:1273 (is_marker_for)","respiratory syncytial virus infectious disease (is_marker_for)","AllianceGenome",2.88e-05,0.0634,0.000456,0.00377,3,18,"TLR8,IFNG,CCR5"
"EFO_0000684","EFO_0000684","respiratory system disease","GWAS",6.11e-07,0.00134,2.07e-05,0.000171,7,145,"TBX21,IRF1,ITK,CD247,PTPRC,CCR7,IL7R"
"C0035242","C0035242","Respiratory Tract Diseases","DisGeNET Curated",0.000166,0.364,0.0016,0.0132,2,6,"IFNG,TNF"
"EFO_0004530, EFO_0005202","EFO_0004530, EFO_0005202","response to hydrochlorothiazide, triglyceride measurement","GWAS",0.0109,1,0.0265,0.22,2,47,"IRF8,KLRD1"
"DOID:8466","DOID:8466 (biomarker_via_orthology)","retinal degeneration (biomarker_via_orthology)","AllianceGenome",0.000113,0.248,0.00116,0.0096,3,28,"LCK,PTPRC,FCGR1A"
"DOID:5327","DOID:5327 (implicated_via_orthology)","retinal detachment (implicated_via_orthology)","AllianceGenome",0.02,1,0.039,0.322,1,6,"TNF"
"C0035309","C0035309","Retinal Diseases","DisGeNET Curated",0.0037,1,0.0123,0.102,2,27,"PTPRC,TNF"
"C0003873","C0003873","Rheumatoid Arthritis","DisGeNET Curated",2.06e-20,4.53e-17,2.27e-17,1.88e-16,17,174,"CD244,TAGAP,NCF1,IRF8,FASLG,STAT1,STAT4,IFNG,CD2,CD3E,CD5,PTPRC,CXCR4,TNF,CTLA4,PLEK,IL2RB"
"EFO_0000685, EFO_0007791, EFO_0009459","EFO_0000685, EFO_0007791, EFO_0009459","rheumatoid arthritis, ACPA-positive rheumatoid arthritis, rheumatoid factor seropositivity measurement","GWAS",6.1e-05,0.134,0.000785,0.00649,4,63,"IRF4,STAT4,ICOS,CTLA4"
"EFO_0000685, EFO_0007791, EFO_0007837","EFO_0000685, EFO_0007791, EFO_0007837","rheumatoid arthritis, anti-citrullinated protein antibody seropositivity, rheumatoid factor seropositivity measurement","GWAS",1.78e-06,0.0039,5.28e-05,0.000437,7,170,"IRF4,IKZF1,STAT4,ICOS,PTPRC,FCGR3A,CTLA4"
"EFO_0000685, MONDO_0100096","EFO_0000685, MONDO_0100096","rheumatoid arthritis, COVID-19","GWAS",0.00132,1,0.00864,0.0715,3,64,"PSMB9,CCR2,TNF"
"EFO_0000384, EFO_0000685","EFO_0000384, EFO_0000685","rheumatoid arthritis, Crohn's disease","GWAS",0.000284,0.624,0.00254,0.021,3,38,"IRF1,STAT4,NOD2"
"EFO_0000685, EFO_0000729","EFO_0000685, EFO_0000729","rheumatoid arthritis, ulcerative colitis","GWAS",0.00225,1,0.0113,0.0932,2,21,"STAT4,CCR2"
"DOID:4483","DOID:4483 (is_implicated_in)","rhinitis (is_implicated_in)","AllianceGenome",0.000139,0.306,0.00141,0.0116,3,30,"NOD2,CCR2,TNF"
"DOID:14550","DOID:14550 (biomarker_via_orthology)","root resorption (biomarker_via_orthology)","AllianceGenome",0.0067,1,0.0185,0.153,1,2,"TNF"
"C0854119","C0854119","Ruptured Appendicitis","DisGeNET Curated",0.0067,1,0.0185,0.153,1,2,"IFNG"
"C0036118","C0036118","Salmonella Infections, Animal","DisGeNET Curated",0.0067,1,0.0185,0.153,1,2,"IFNG"
"DOID:11335","DOID:11335 (is_implicated_in)","sarcoidosis (is_implicated_in)","AllianceGenome",1.99e-05,0.0437,0.000331,0.00274,3,16,"CCR2,CCR5,CTLA4"
"C1261473","C1261473","Sarcoma","DisGeNET Curated",0.00225,1,0.0113,0.0932,2,21,"IFNG,TNF"
"C0205944","C0205944","Sarcoma, Epithelioid","DisGeNET Curated",0.000988,1,0.0069,0.0571,2,14,"IFNG,TNF"
"C0205945","C0205945","Sarcoma, Spindle Cell","DisGeNET Curated",0.000988,1,0.0069,0.0571,2,14,"IFNG,TNF"
"DOID:13452","DOID:13452 (is_implicated_in)","scleritis (is_implicated_in)","AllianceGenome",0.00336,1,0.0113,0.0932,1,1,"TNF"
"C0011644","C0011644","Scleroderma","DisGeNET Curated",0.0134,1,0.0297,0.245,1,4,"TNF"
"C0238065","C0238065","Secondary Biliary Cholangitis","DisGeNET Curated",5.82e-09,1.28e-05,3.46e-07,2.86e-06,6,42,"CXCL10,STAT4,CD3D,CXCL9,CCL5,IL7R"
"C1449647","C1449647","Secondary Peritonitis","DisGeNET Curated",0.01,1,0.0246,0.203,1,3,"IFNG"
"DOID:14176","DOID:14176 (is_marker_for)","selective IgG deficiency disease (is_marker_for)","AllianceGenome",0.00336,1,0.0113,0.0932,1,1,"IFNG"
"DOID:10003","DOID:10003 (is_marker_for)","sensorineural hearing loss (is_marker_for)","AllianceGenome",3.34e-05,0.0734,0.000473,0.00392,2,3,"IFNG,TNF"
"C0243026","C0243026","Sepsis","DisGeNET Curated",0.00293,1,0.0113,0.0932,2,24,"IFNG,TNF"
"DOID:813","DOID:813 (is_marker_for)","septic arthritis (is_marker_for)","AllianceGenome",0.00336,1,0.0113,0.0932,1,1,"CCL4"
"C0036983","C0036983","Septic Shock","DisGeNET Curated",0.02,1,0.039,0.322,1,6,"TNF"
"C0036690","C0036690","Septicemia","DisGeNET Curated",0.00293,1,0.0113,0.0932,2,24,"IFNG,TNF"
"EFO_0020728","EFO_0020728","serine/threonine-protein kinase PAK 3 measurement","GWAS",0.02,1,0.039,0.322,1,6,"CXCL10"
"EFO_0004568","EFO_0004568","serum non-albumin protein measurement","GWAS",3.66e-06,0.00804,9.93e-05,0.000821,9,361,"TBX21,IRF4,IKZF1,ZAP70,ICOS,FCGR3A,CXCR4,TNFSF13B,CTLA4"
"DOID:2945","DOID:2945 (is_marker_for)","severe acute respiratory syndrome (is_marker_for)","AllianceGenome",1.18e-08,2.59e-05,6.3e-07,5.22e-06,6,47,"CXCL10,IFNG,CD3E,CXCL9,CCL5,TNF"
"C0085110","C0085110","Severe Combined Immunodeficiency","DisGeNET Curated",1.47e-15,3.22e-12,8.06e-13,6.67e-12,8,20,"ZAP70,CORO1A,CD3D,CD3E,CD247,PTPRC,IL2RG,IL7R"
